time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,c
1625623699,409.2,409.4,409.4,409.1,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.2,400.8,404.0,401.7,402.8,405.8,407.0,408.6,400.6,409.5,409.2,409.3,409.3,405.7,404.7,398.3,397.7,409.1,409.2,409.2,409.1,-0.001
1625623700,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.2,409.2,400.8,404.0,401.6,402.9,405.8,407.0,408.6,400.6,409.4,409.3,409.2,409.3,405.7,404.7,398.3,397.7,409.2,409.1,409.2,409.1,0.002
1625623701,409.2,409.4,409.4,409.2,409.3,409.4,409.2,409.2,402.0,409.2,405.3,409.2,400.8,404.0,401.7,402.9,405.8,407.0,408.6,400.6,409.5,409.2,409.2,409.3,405.6,404.7,398.3,397.6,409.1,409.2,409.2,409.1,0.005
1625623702,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.3,402.0,409.2,405.2,409.2,400.8,404.0,401.6,402.9,405.8,407.0,408.6,400.6,409.5,409.3,409.2,409.2,405.7,404.7,398.3,397.6,409.2,409.1,409.2,409.1,-0.002
1625623703,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.3,405.2,409.2,400.8,404.0,401.7,402.8,405.8,407.0,408.6,400.6,409.5,409.3,409.2,409.3,405.7,404.7,398.3,397.7,409.1,409.1,409.2,409.1,0.003
1625623704,409.2,409.4,409.3,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.3,400.8,404.0,401.7,402.9,405.8,407.0,408.6,400.6,409.5,409.3,409.3,409.2,405.6,404.7,398.3,397.6,409.1,409.1,409.2,409.1,0.002
1625623705,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.3,405.2,409.2,400.8,404.0,401.6,402.8,405.8,407.0,408.6,400.6,409.5,409.2,409.2,409.3,405.6,404.7,398.3,397.6,409.2,409.2,409.2,409.1,0.001
1625623706,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.2,400.8,404.0,401.6,402.9,405.8,407.0,408.6,400.6,409.4,409.2,409.2,409.3,405.6,404.7,398.3,397.7,409.1,409.1,409.2,409.1,0.0
1625623707,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.2,400.8,404.0,401.7,402.9,405.8,407.0,408.6,400.6,409.5,409.3,409.2,409.3,405.7,404.7,398.3,397.6,409.2,409.2,409.2,409.1,0.01
1625623708,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.3,405.3,409.2,400.8,404.0,401.6,402.9,405.8,407.0,408.6,400.6,409.5,409.2,409.2,409.3,405.6,404.7,398.3,397.7,409.2,409.1,409.2,409.1,0.003
1625623709,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.3,400.8,404.0,401.7,402.9,405.8,407.0,408.6,400.6,409.4,409.3,409.2,409.2,405.7,404.7,398.3,397.6,409.1,409.1,409.2,409.1,0.0
1625623710,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.3,400.8,404.0,401.7,402.8,405.8,407.0,408.6,400.6,409.5,409.2,409.2,409.2,405.7,404.7,398.3,397.7,409.2,409.2,409.2,409.1,0.003
1625623711,409.2,409.4,409.4,409.2,409.4,409.4,409.2,409.2,402.0,409.2,405.3,409.2,400.8,404.0,401.7,402.9,405.8,407.0,408.6,400.6,409.5,409.3,409.2,409.3,405.6,404.7,398.3,397.6,409.2,409.1,409.2,409.1,0.005
